frame,time,bone,true_deg,computed_deg,diff_deg,raw_deg,pre_clamp_deg,clamped_deg,filtered_deg,expected_proj_mag,current_proj_mag,ref_axis_angle_deg,degenerate,held_previous_raw,ref_to_bone_forward_deg,ref_to_bone_up_deg,ref_to_bone_right_deg,axis_x,axis_y,axis_z,ref_x,ref_y,ref_z
6,0.2000,R_LowerLeg,-5.39,0.00,5.39,0.00,0.00,0.00,0.00,0.1152,0.4393,153.94,Y,N,33.85,122.48,98.50,0.20795,-0.90252,-0.37712,0.03529,0.99933,0.00996
7,0.2333,L_UpperArm,5.54,-66.99,-72.53,3.00,-60.42,-60.42,-66.99,0.9987,0.7050,135.17,N,N,83.53,91.03,173.45,-0.65518,-0.58058,0.48338,0.92623,-0.12092,-0.35705
7,0.2333,L_LowerArm,26.92,63.42,36.50,62.05,62.05,62.05,63.42,0.9987,0.9831,100.56,N,N,83.53,91.03,173.45,0.15313,-0.18068,0.97155,0.92623,-0.12092,-0.35705
7,0.2333,R_UpperArm,10.83,61.82,50.99,-19.34,66.42,66.42,61.82,0.9988,0.9089,65.35,N,N,96.50,89.06,173.43,0.37881,-0.92548,-0.00080,0.91272,-0.07666,-0.40132
7,0.2333,R_LowerArm,-12.35,-85.76,-73.41,-89.42,-89.42,-89.42,-85.76,0.9989,0.9504,108.11,N,N,96.50,89.06,173.43,0.10112,0.06127,0.99299,0.91272,-0.07666,-0.40132
7,0.2333,L_UpperLeg,7.67,0.00,-7.67,0.00,0.00,0.00,0.00,0.0972,0.6502,139.44,Y,N,26.42,113.70,101.00,0.11922,-0.77388,0.62201,0.04620,0.99886,0.01239
7,0.2333,L_LowerLeg,13.12,0.00,-13.12,0.00,0.00,0.00,0.00,0.1203,0.1722,170.08,Y,N,26.42,113.70,101.00,-0.04815,-0.98594,0.16000,0.04620,0.99886,0.01239
7,0.2333,R_UpperLeg,-2.60,0.00,2.60,0.00,0.00,0.00,0.00,0.0956,0.4524,153.10,Y,N,41.95,127.22,106.52,0.23335,-0.89905,-0.37049,0.04620,0.99886,0.01239
7,0.2333,R_LowerLeg,-5.38,0.00,5.38,0.00,0.00,0.00,0.00,0.1152,0.4735,151.74,Y,N,41.95,127.22,106.52,0.23341,-0.88767,-0.39694,0.04620,0.99886,0.01239
8,0.2667,L_UpperArm,1.17,-55.12,-56.29,13.52,-44.66,-44.66,-55.12,0.9987,0.7614,130.41,N,N,83.53,91.03,173.45,-0.67900,-0.51600,0.52221,0.94689,-0.22355,-0.23116
8,0.2667,L_LowerArm,25.52,58.18,32.66,50.96,50.96,50.96,58.18,0.9987,0.9943,96.12,N,N,83.53,91.03,173.45,0.05564,-0.27873,0.95875,0.94689,-0.22355,-0.23116
8,0.2667,R_UpperArm,6.71,63.22,56.50,-24.42,64.32,64.32,63.22,0.9988,0.9120,65.78,N,N,96.50,89.06,173.43,0.33518,-0.92299,0.18906,0.94657,-0.15832,-0.28096
8,0.2667,R_LowerArm,-13.94,-88.74,-74.80,-100.05,-100.05,-90.00,-88.74,0.9989,0.9373,110.40,N,N,96.50,89.06,173.43,-0.04461,0.19686,0.97942,0.94657,-0.15832,-0.28096
8,0.2667,L_UpperLeg,4.04,0.00,-4.04,0.00,0.00,0.00,0.00,0.0972,0.6572,138.91,Y,N,28.38,113.61,104.83,0.13671,-0.77615,0.61555,0.05550,0.99822,0.02191
8,0.2667,L_LowerLeg,13.65,0.00,-13.65,0.00,0.00,0.00,0.00,0.1203,0.1845,169.37,Y,N,28.38,113.61,104.83,-0.00777,-0.98760,0.15677,0.05550,0.99822,0.02191
8,0.2667,R_UpperLeg,2.33,0.00,-2.33,0.00,0.00,0.00,0.00,0.0956,0.4235,154.94,Y,N,59.69,143.02,109.11,0.20531,-0.91107,-0.35750,0.05550,0.99822,0.02191
8,0.2667,R_LowerLeg,-4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.1152,0.4453,153.56,Y,N,59.69,143.02,109.11,0.21503,-0.90064,-0.37764,0.05550,0.99822,0.02191
9,0.3000,L_UpperArm,-2.96,-42.54,-39.58,15.36,-34.80,-34.80,-42.54,0.9987,0.8140,125.51,N,N,83.53,91.03,173.45,-0.69598,-0.46190,0.54979,0.92153,-0.34445,-0.17925
9,0.3000,L_LowerArm,23.08,50.17,27.09,39.86,39.86,39.86,50.17,0.9987,0.9984,93.27,N,N,83.53,91.03,173.45,-0.01390,-0.35761,0.93377,0.92153,-0.34445,-0.17925
9,0.3000,R_UpperArm,1.80,63.98,62.18,-24.92,64.66,64.66,63.98,0.9988,0.9295,68.36,N,N,96.50,89.06,173.43,0.22830,-0.89558,0.38186,0.97879,-0.19232,-0.07061
9,0.3000,R_LowerArm,-14.12,-89.59,-75.47,-111.38,-111.38,-90.00,-89.59,0.9989,0.9418,109.65,N,N,96.50,89.06,173.43,-0.21326,0.32504,0.92134,0.97879,-0.19232,-0.07061
9,0.3000,L_UpperLeg,-0.67,0.00,0.67,0.00,0.00,0.00,0.00,0.0972,0.6764,137.44,Y,N,26.82,110.45,106.58,0.15206,-0.77986,0.60720,0.06297,0.99669,0.05134
9,0.3000,L_LowerLeg,11.12,0.00,-11.12,0.00,0.00,0.00,0.00,0.1203,0.2326,166.55,Y,N,26.82,110.45,106.58,0.02327,-0.98582,0.16618,0.06297,0.99669,0.05134
9,0.3000,R_UpperLeg,7.45,0.00,-7.45,0.00,0.00,0.00,0.00,0.0956,0.3337,160.51,Y,N,79.76,160.65,106.24,0.13576,-0.93796,-0.31907,0.06297,0.99669,0.05134
