frame,time,bone,true_deg,computed_deg,diff_deg,sign_match
34,1.1333,R_UpperArm,-8.49,-13.14,-4.65,Y
34,1.1333,R_LowerArm,-60.66,-71.51,-10.85,Y
34,1.1333,L_UpperLeg,2.65,0.00,-2.65,Y
34,1.1333,L_LowerLeg,-4.35,0.00,4.35,Y
34,1.1333,R_UpperLeg,11.23,0.00,-11.23,Y
34,1.1333,R_LowerLeg,2.93,0.00,-2.93,Y
35,1.1667,L_UpperArm,4.16,-28.27,-32.43,Y
35,1.1667,L_LowerArm,27.86,58.98,31.12,Y
35,1.1667,R_UpperArm,-8.24,-15.97,-7.73,Y
35,1.1667,R_LowerArm,-63.12,-74.20,-11.09,Y
35,1.1667,L_UpperLeg,4.62,0.00,-4.62,Y
35,1.1667,L_LowerLeg,-7.03,0.00,7.03,Y
35,1.1667,R_UpperLeg,13.37,0.00,-13.37,Y
35,1.1667,R_LowerLeg,1.21,0.00,-1.21,Y
36,1.2000,L_UpperArm,4.37,-46.35,-50.73,Y
36,1.2000,L_LowerArm,27.35,65.27,37.92,Y
36,1.2000,R_UpperArm,-7.37,-16.42,-9.06,Y
36,1.2000,R_LowerArm,-62.65,-73.99,-11.33,Y
36,1.2000,L_UpperLeg,5.35,0.00,-5.35,Y
36,1.2000,L_LowerLeg,-8.93,0.00,8.93,Y
36,1.2000,R_UpperLeg,12.84,0.00,-12.84,Y
36,1.2000,R_LowerLeg,1.39,0.00,-1.39,Y
37,1.2333,L_UpperArm,4.64,-57.88,-62.52,Y
37,1.2333,L_LowerArm,25.36,67.51,42.15,Y
37,1.2333,R_UpperArm,-6.22,-14.15,-7.93,Y
37,1.2333,R_LowerArm,-59.49,-71.02,-11.53,Y
37,1.2333,L_UpperLeg,5.64,0.00,-5.64,Y
37,1.2333,L_LowerLeg,-7.25,0.00,7.25,Y
37,1.2333,R_UpperLeg,12.48,0.00,-12.48,Y
37,1.2333,R_LowerLeg,1.89,0.00,-1.89,Y
38,1.2667,L_UpperArm,6.53,-66.32,-72.85,N
38,1.2667,L_LowerArm,24.54,76.31,51.78,Y
38,1.2667,R_UpperArm,-3.85,-4.99,-1.14,Y
38,1.2667,R_LowerArm,-55.65,-68.84,-13.20,Y
38,1.2667,L_UpperLeg,5.97,0.00,-5.97,Y
